"Ticker","Nome","Negócios","Última (R$)","Variação"
"AZZA3","Arezzo","1.545.000","33,45","+2,70%"
"CURY3","Cury","1.500.400","33,22","-1,01%"
"CPFE3","CPFL Energia","1.477.600","38,30","+0,21%"
"SLCE3","SLC Agrícola","1.476.400","17,19","+1,36%"
"PGMN3","Pague Menos","1.469.300","3,65","-4,45%"
"CSMG3","COPASA","1.466.400","32,75","-0,21%"
"RECV3","PetroRecôncavo","1.463.500","13,06","+1,24%"
"AZEV4","Azevedo & Travassos","1.432.200","0,50","+0,00%"
"SMTO3","São Martinho","1.390.100","17,42","-0,57%"
"PSSA3","Porto Seguro","1.364.200","50,30","+0,44%"
"INTB3","Intelbras","1.350.900","13,07","+2,03%"
"HBOR3","Helbor","1.295.200","3,48","-1,97%"
"TAEE11","Taesa","1.287.900","35,01","+0,49%"
"KEPL3","Kepler Weber","1.284.300","7,78","-0,77%"
"POSI3","Positivo","1.262.900","4,45","+2,30%"
"ITUB3","Itaú Unibanco","1.155.400","33,78","+0,66%"
"SBFG3","Grupo SBF","1.142.800","12,48","+3,91%"
"BRKM5","Braskem","1.123.400","8,85","-0,78%"
"ISAE4","ISA Energia","1.114.500","23,26","+0,00%"
"POMO3","Marcopolo","1.095.700","8,01","+1,26%"
"GRND3","Grendene","1.089.100","5,21","+0,77%"
"TOKY3","TOKY3","1.067.500","1,04","-0,95%"
"SHUL4","Schulz","1.023.500","4,79","+1,48%"
"LIGT3","Light","1.008.300","5,75","+2,68%"
"SYNE3","SYN","1.006.500","6,64","+2,00%"
"NEOE3","Neoenergia","1.001.100","29,00","-0,31%"
"MLAS3","Multilaser","998.300","1,04","-2,80%"
"BRSR6","Banrisul","984.100","11,60","+0,17%"
"EZTC3","EZTEC","983.100","16,81","+0,18%"
"AZEV3","Azevedo & Travassos","972.500","0,45","-2,17%"
"SANB11","Banco Santander","972.300","28,80","+0,49%"
"GGPS3","GPS","966.300","18,01","+0,50%"
"MILS3","Mills","942.300","11,97","-0,17%"
"ALPA4","Alpargatas","931.800","10,03","+0,60%"
"MEAL3","IMC Alimentação","919.900","1,40","+2,94%"
"MYPK3","Iochpe-Maxion","917.900","13,70","-1,86%"
"OIBR3","Oi","902.500","0,53","-1,85%"
"SAPR11","Sanepar","900.900","37,00","+0,90%"
"OPCT3","OceanPact","900.000","7,31","+0,97%"
"AMER3","Americanas","850.700","6,83","+0,00%"
"EGIE3","Engie","850.300","40,72","+0,82%"
"ESPA3","Espaçolaser","835.000","1,18","+3,51%"
"TRIS3","Trisul","828.700","7,35","+4,26%"
"BPAN4","Banco Pan","822.800","8,05","-0,62%"
"VULC3","Vulcabras","801.600","20,19","-0,54%"
"CAML3","Camil Alimentos","800.800","5,15","+1,38%"
"DASA3","Dasa","795.800","1,29","-3,01%"
"ENJU3","Enjoei","723.300","0,96","+0,00%"
"ZAMP3","Zamp","722.000","3,51","+0,29%"
"TTEN3","3tentos","696.600","14,57","+1,11%"
"RANI3","Irani","684.600","8,22","+1,11%"
"JALL3","Jalles Machado","684.200","2,89","-1,03%"
"SAPR4","Sanepar","677.800","7,17","+0,14%"
"LAVV3","Lavvi Incorporadora","643.500","15,08","+0,67%"
"MELK3","Melnick","621.500","3,76","-1,05%"
"TUPY3","Tupy","578.900","14,54","-1,22%"
"KLBN3","Klabin","571.000","3,73","-0,80%"
"HBRE3","HBR Realty","552.400","4,97","-2,36%"
"AMBP3","Ambipar","550.400","13,26","+3,35%"
"ORVR3","Orizon","544.300","56,80","+1,50%"
"FESA4","Ferbasa","536.000","6,49","-0,61%"
"FRAS3","Fras-le","532.200","22,35","+0,59%"
"ALLD3","Allied","525.300","8,38","+1,70%"
"PDGR3","PDG Realty","525.300","0,16","+0,00%"
"MTRE3","Mitre Realty","524.000","3,90","+0,00%"
"ABCB4","Banco ABC Brasil","512.700","23,00","+1,14%"
"ALUP11","Alupar","484.100","30,82","+0,82%"
"IRBR3","IRB Brasil RE","439.900","46,48","+0,82%"
"USIM3","Usiminas","412.000","4,51","-0,44%"
"TFCO4","Track & Field","398.400","15,94","-1,36%"
"FIQE3","Unifique","393.300","4,51","-0,44%"
"PNVL3","Dimed","376.700","9,55","-1,85%"
"SEER3","Ser Educacional","375.400","10,63","+2,11%"
"CSED3","Cruzeiro do Sul Educacional","357.100","4,72","+1,94%"
"SOJA3","Boa Safra Sementes","356.700","10,97","+2,24%"
"PMAM3","Paranapanema","355.200","1,50","+0,00%"
"MDIA3","M. Dias Branco","333.000","28,42","-0,84%"
"BMOB3","Bemobi","329.200","21,90","+3,40%"
"PINE4","Banco Pine","324.100","8,00","+4,30%"
"MDNE3","Moura Dubeux","297.900","26,20","-0,34%"
"VLID3","Valid","297.200","21,10","+0,00%"
"AMAR3","Lojas Marisa","297.200","1,29","-0,77%"
"SAPR3","Sanepar","295.500","7,98","+2,31%"
"TASA4","Taurus","278.900","4,95","+1,02%"
"WIZC3","Wiz Soluções","267.500","8,18","-0,37%"
"VTRU3","VITRUBREPCOM","252.400","11,44","-0,78%"
"BMGB4","Banco BMG","250.800","3,82","+0,53%"
"MATD3","Mater Dei","231.200","4,62","-1,91%"
"VITT3","Vittia","230.300","5,17","-0,58%"
"GFSA3","Gafisa","223.200","11,92","-0,83%"
"JSLG3","JSL","221.400","6,54","+0,62%"
"UNIP6","Unipar","214.700","71,05","-1,62%"
"LEVE3","Mahle Metal Leve","203.000","27,91","-1,31%"
"LOGG3","LOG CP","194.200","21,93","+0,73%"
"EVEN3","Even","190.500","7,81","-0,51%"
"DMVF3","D1000 Varejo Farma","189.300","4,68","+5,41%"
"TGMA3","Tegma","182.300","37,32","-0,45%"
"ITSA3","Itaúsa","181.100","11,13","+1,00%"
"BRBI11","BR Partners","180.600","17,42","-0,06%"
"PRNR3","Priner","177.300","15,98","-0,37%"
"CMIG3","Cemig","174.000","14,88","-0,20%"
"TCSA3","Tecnisa","168.000","1,71","+3,64%"
"PORT3","Wilson Sons","162.100","18,16","+0,00%"
"AGRO3","BrasilAgro","158.300","20,61","+0,15%"
"VIVR3","Viver","154.800","0,98","-2,00%"
"BLAU3","Blau Farmacêutica","136.800","14,12","+0,50%"
"BRST3","Brisanet","134.500","2,82","-0,70%"
"ALPK3","Estapar","129.300","3,11","+3,32%"
"SHOW3","Time For Fun","125.600","6,38","-1,69%"
"DESK3","Desktop","113.800","8,09","+1,12%"
"RCSL3","Recrusul","108.700","1,84","-1,08%"
"TAEE4","Taesa","108.300","11,68","+0,69%"
"PTBL3","Portobello","103.500","3,98","-2,21%"
"AERI3","Aeris Energy","101.800","4,19","-0,48%"
"PFRM3","Profarma","99.900","7,45","-1,06%"
"DEXP3","Dexxos","97.500","8,54","+2,15%"
"SANB4","Banco Santander","88.500","15,01","+0,27%"
"RNEW4","Renova Energia","79.200","1,07","-2,73%"
"ETER3","Eternit","74.200","4,85","+0,41%"
"TECN3","Technos","69.000","6,84","+1,48%"
"AALR3","Alliança","61.000","6,00","+0,00%"
"TAEE3","Taesa","58.900","11,65","+0,95%"
"RDNI3","RNI","58.500","2,29","+12,25%"
"ROMI3","Indústrias ROMI","57.100","8,10","-0,49%"
"SANB3","Banco Santander","55.900","13,63","-0,44%"
"OFSA3","Ourofino Saúde Animal","53.700","23,37","+5,32%"
"TASA3","Taurus","50.100","5,35","-4,29%"
"UCAS3","Unicasa","49.400","1,30","+0,78%"
